,shadow_image,shadowfree_image,shadow_matte,background_image,background_color_csv
0,./../datasets/Kligler/shadow_image/natiCHW01_01.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_01.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_01.jpg,./../datasets/Kligler/background_color_image/natiCHW01_01.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_01.csv
1,./../datasets/Kligler/shadow_image/natiCHW01_02.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_02.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_02.jpg,./../datasets/Kligler/background_color_image/natiCHW01_02.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_02.csv
2,./../datasets/Kligler/shadow_image/natiCHW01_03.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_03.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_03.jpg,./../datasets/Kligler/background_color_image/natiCHW01_03.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_03.csv
3,./../datasets/Kligler/shadow_image/natiCHW01_04.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_04.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_04.jpg,./../datasets/Kligler/background_color_image/natiCHW01_04.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_04.csv
4,./../datasets/Kligler/shadow_image/natiCHW01_05.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_05.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_05.jpg,./../datasets/Kligler/background_color_image/natiCHW01_05.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_05.csv
5,./../datasets/Kligler/shadow_image/natiCHW01_06.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_06.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_06.jpg,./../datasets/Kligler/background_color_image/natiCHW01_06.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_06.csv
6,./../datasets/Kligler/shadow_image/natiCHW01_07.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_07.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_07.jpg,./../datasets/Kligler/background_color_image/natiCHW01_07.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_07.csv
7,./../datasets/Kligler/shadow_image/natiCHW01_08.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_08.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_08.jpg,./../datasets/Kligler/background_color_image/natiCHW01_08.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_08.csv
8,./../datasets/Kligler/shadow_image/natiCHW01_09.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_09.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_09.jpg,./../datasets/Kligler/background_color_image/natiCHW01_09.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_09.csv
9,./../datasets/Kligler/shadow_image/natiCHW01_10.jpg,./../datasets/Kligler/shadowfree_image/natiCHW01_10.jpg,./../datasets/Kligler/shadow_mask/natiCHW01_10.jpg,./../datasets/Kligler/background_color_image/natiCHW01_10.jpg,./../datasets/Kligler/background_color_csv/natiCHW01_10.csv
