,shadow_image,shadowfree_image,shadow_matte,background_image,background_color_csv
0,../datasets/SynDocDS/shadow_image/00000_00.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
1,../datasets/SynDocDS/shadow_image/00000_01.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
2,../datasets/SynDocDS/shadow_image/00000_02.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
3,../datasets/SynDocDS/shadow_image/00000_03.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
4,../datasets/SynDocDS/shadow_image/00000_04.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
5,../datasets/SynDocDS/shadow_image/00000_05.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
6,../datasets/SynDocDS/shadow_image/00000_06.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
7,../datasets/SynDocDS/shadow_image/00000_07.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
8,../datasets/SynDocDS/shadow_image/00000_08.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
9,../datasets/SynDocDS/shadow_image/00000_09.png,../datasets/SynDocDS/shadowfree_image/00000.png,../datasets/SynDocDS/shadow_matte/00000.png,../datasets/SynDocDS/background_image/00000.png,../datasets/SynDocDS/background_color_csv/00000.csv
10,../datasets/SynDocDS/shadow_image/00001_00.png,../datasets/SynDocDS/shadowfree_image/00001.png,../datasets/SynDocDS/shadow_matte/00001.png,../datasets/SynDocDS/background_image/00001.png,../datasets/SynDocDS/background_color_csv/00001.csv
11,../datasets/SynDocDS/shadow_image/00001_01.png,../datasets/SynDocDS/shadowfree_image/00001.png,../datasets/SynDocDS/shadow_matte/00001.png,../datasets/SynDocDS/background_image/00001.png,../datasets/SynDocDS/background_color_csv/00001.csv
12,../datasets/SynDocDS/shadow_image/00001_02.png,../datasets/SynDocDS/shadowfree_image/00001.png,../datasets/SynDocDS/shadow_matte/00001.png,../datasets/SynDocDS/background_image/00001.png,../datasets/SynDocDS/background_color_csv/00001.csv
13,../datasets/SynDocDS/shadow_image/00001_03.png,../datasets/SynDocDS/shadowfree_image/00001.png,../datasets/SynDocDS/shadow_matte/00001.png,../datasets/SynDocDS/background_image/00001.png,../datasets/SynDocDS/background_color_csv/00001.csv
14,../datasets/SynDocDS/shadow_image/00001_04.png,../datasets/SynDocDS/shadowfree_image/00001.png,../datasets/SynDocDS/shadow_matte/00001.png,../datasets/SynDocDS/background_image/00001.png,../datasets/SynDocDS/background_color_csv/00001.csv
15,../datasets/SynDocDS/shadow_image/00001_05.png,../datasets/SynDocDS/shadowfree_image/00001.png,../datasets/SynDocDS/shadow_matte/00001.png,../datasets/SynDocDS/background_image/00001.png,../datasets/SynDocDS/background_color_csv/00001.csv
