,shadow_image,shadowfree_image,shadow_matte,background_image,background_color_csv
0,../datasets/Jung/shadow_image/rect_1.jpg,../datasets/Jung/shadowfree_image/rect_1.jpg,../datasets/Jung/shadow_mask/rect_1.jpg,../datasets/Jung/background_color_image/rect_1.jpg,../datasets/Jung/background_color_csv/rect_1.csv
1,../datasets/Jung/shadow_image/rect_10.jpg,../datasets/Jung/shadowfree_image/rect_10.jpg,../datasets/Jung/shadow_mask/rect_10.jpg,../datasets/Jung/background_color_image/rect_10.jpg,../datasets/Jung/background_color_csv/rect_10.csv
2,../datasets/Jung/shadow_image/rect_11.jpg,../datasets/Jung/shadowfree_image/rect_11.jpg,../datasets/Jung/shadow_mask/rect_11.jpg,../datasets/Jung/background_color_image/rect_11.jpg,../datasets/Jung/background_color_csv/rect_11.csv
3,../datasets/Jung/shadow_image/rect_12.jpg,../datasets/Jung/shadowfree_image/rect_12.jpg,../datasets/Jung/shadow_mask/rect_12.jpg,../datasets/Jung/background_color_image/rect_12.jpg,../datasets/Jung/background_color_csv/rect_12.csv
4,../datasets/Jung/shadow_image/rect_13.jpg,../datasets/Jung/shadowfree_image/rect_13.jpg,../datasets/Jung/shadow_mask/rect_13.jpg,../datasets/Jung/background_color_image/rect_13.jpg,../datasets/Jung/background_color_csv/rect_13.csv
5,../datasets/Jung/shadow_image/rect_14.jpg,../datasets/Jung/shadowfree_image/rect_14.jpg,../datasets/Jung/shadow_mask/rect_14.jpg,../datasets/Jung/background_color_image/rect_14.jpg,../datasets/Jung/background_color_csv/rect_14.csv
6,../datasets/Jung/shadow_image/rect_15.jpg,../datasets/Jung/shadowfree_image/rect_15.jpg,../datasets/Jung/shadow_mask/rect_15.jpg,../datasets/Jung/background_color_image/rect_15.jpg,../datasets/Jung/background_color_csv/rect_15.csv
7,../datasets/Jung/shadow_image/rect_16.jpg,../datasets/Jung/shadowfree_image/rect_16.jpg,../datasets/Jung/shadow_mask/rect_16.jpg,../datasets/Jung/background_color_image/rect_16.jpg,../datasets/Jung/background_color_csv/rect_16.csv
8,../datasets/Jung/shadow_image/rect_17.jpg,../datasets/Jung/shadowfree_image/rect_17.jpg,../datasets/Jung/shadow_mask/rect_17.jpg,../datasets/Jung/background_color_image/rect_17.jpg,../datasets/Jung/background_color_csv/rect_17.csv
9,../datasets/Jung/shadow_image/rect_18.jpg,../datasets/Jung/shadowfree_image/rect_18.jpg,../datasets/Jung/shadow_mask/rect_18.jpg,../datasets/Jung/background_color_image/rect_18.jpg,../datasets/Jung/background_color_csv/rect_18.csv
10,../datasets/Jung/shadow_image/rect_19.jpg,../datasets/Jung/shadowfree_image/rect_19.jpg,../datasets/Jung/shadow_mask/rect_19.jpg,../datasets/Jung/background_color_image/rect_19.jpg,../datasets/Jung/background_color_csv/rect_19.csv
11,../datasets/Jung/shadow_image/rect_2.jpg,../datasets/Jung/shadowfree_image/rect_2.jpg,../datasets/Jung/shadow_mask/rect_2.jpg,../datasets/Jung/background_color_image/rect_2.jpg,../datasets/Jung/background_color_csv/rect_2.csv
12,../datasets/Jung/shadow_image/rect_20.jpg,../datasets/Jung/shadowfree_image/rect_20.jpg,../datasets/Jung/shadow_mask/rect_20.jpg,../datasets/Jung/background_color_image/rect_20.jpg,../datasets/Jung/background_color_csv/rect_20.csv
13,../datasets/Jung/shadow_image/rect_21.jpg,../datasets/Jung/shadowfree_image/rect_21.jpg,../datasets/Jung/shadow_mask/rect_21.jpg,../datasets/Jung/background_color_image/rect_21.jpg,../datasets/Jung/background_color_csv/rect_21.csv
14,../datasets/Jung/shadow_image/rect_22.jpg,../datasets/Jung/shadowfree_image/rect_22.jpg,../datasets/Jung/shadow_mask/rect_22.jpg,../datasets/Jung/background_color_image/rect_22.jpg,../datasets/Jung/background_color_csv/rect_22.csv
15,../datasets/Jung/shadow_image/rect_23.jpg,../datasets/Jung/shadowfree_image/rect_23.jpg,../datasets/Jung/shadow_mask/rect_23.jpg,../datasets/Jung/background_color_image/rect_23.jpg,../datasets/Jung/background_color_csv/rect_23.csv
16,../datasets/Jung/shadow_image/rect_24.jpg,../datasets/Jung/shadowfree_image/rect_24.jpg,../datasets/Jung/shadow_mask/rect_24.jpg,../datasets/Jung/background_color_image/rect_24.jpg,../datasets/Jung/background_color_csv/rect_24.csv
17,../datasets/Jung/shadow_image/rect_25.jpg,../datasets/Jung/shadowfree_image/rect_25.jpg,../datasets/Jung/shadow_mask/rect_25.jpg,../datasets/Jung/background_color_image/rect_25.jpg,../datasets/Jung/background_color_csv/rect_25.csv
18,../datasets/Jung/shadow_image/rect_26.jpg,../datasets/Jung/shadowfree_image/rect_26.jpg,../datasets/Jung/shadow_mask/rect_26.jpg,../datasets/Jung/background_color_image/rect_26.jpg,../datasets/Jung/background_color_csv/rect_26.csv
19,../datasets/Jung/shadow_image/rect_27.jpg,../datasets/Jung/shadowfree_image/rect_27.jpg,../datasets/Jung/shadow_mask/rect_27.jpg,../datasets/Jung/background_color_image/rect_27.jpg,../datasets/Jung/background_color_csv/rect_27.csv
20,../datasets/Jung/shadow_image/rect_28.jpg,../datasets/Jung/shadowfree_image/rect_28.jpg,../datasets/Jung/shadow_mask/rect_28.jpg,../datasets/Jung/background_color_image/rect_28.jpg,../datasets/Jung/background_color_csv/rect_28.csv
21,../datasets/Jung/shadow_image/rect_29.jpg,../datasets/Jung/shadowfree_image/rect_29.jpg,../datasets/Jung/shadow_mask/rect_29.jpg,../datasets/Jung/background_color_image/rect_29.jpg,../datasets/Jung/background_color_csv/rect_29.csv
22,../datasets/Jung/shadow_image/rect_3.jpg,../datasets/Jung/shadowfree_image/rect_3.jpg,../datasets/Jung/shadow_mask/rect_3.jpg,../datasets/Jung/background_color_image/rect_3.jpg,../datasets/Jung/background_color_csv/rect_3.csv
