,shadow_image,shadowfree_image,shadow_matte,background_image,background_color_csv
0,../datasets/Jung/shadow_image/rect_38.jpg,../datasets/Jung/shadowfree_image/rect_38.jpg,../datasets/Jung/shadow_mask/rect_38.jpg,../datasets/Jung/background_color_image/rect_38.jpg,../datasets/Jung/background_color_csv/rect_38.csv
1,../datasets/Jung/shadow_image/rect_39.jpg,../datasets/Jung/shadowfree_image/rect_39.jpg,../datasets/Jung/shadow_mask/rect_39.jpg,../datasets/Jung/background_color_image/rect_39.jpg,../datasets/Jung/background_color_csv/rect_39.csv
2,../datasets/Jung/shadow_image/rect_40.jpg,../datasets/Jung/shadowfree_image/rect_40.jpg,../datasets/Jung/shadow_mask/rect_40.jpg,../datasets/Jung/background_color_image/rect_40.jpg,../datasets/Jung/background_color_csv/rect_40.csv
3,../datasets/Jung/shadow_image/rect_41.jpg,../datasets/Jung/shadowfree_image/rect_41.jpg,../datasets/Jung/shadow_mask/rect_41.jpg,../datasets/Jung/background_color_image/rect_41.jpg,../datasets/Jung/background_color_csv/rect_41.csv
4,../datasets/Jung/shadow_image/rect_42.jpg,../datasets/Jung/shadowfree_image/rect_42.jpg,../datasets/Jung/shadow_mask/rect_42.jpg,../datasets/Jung/background_color_image/rect_42.jpg,../datasets/Jung/background_color_csv/rect_42.csv
5,../datasets/Jung/shadow_image/rect_43.jpg,../datasets/Jung/shadowfree_image/rect_43.jpg,../datasets/Jung/shadow_mask/rect_43.jpg,../datasets/Jung/background_color_image/rect_43.jpg,../datasets/Jung/background_color_csv/rect_43.csv
6,../datasets/Jung/shadow_image/rect_44.jpg,../datasets/Jung/shadowfree_image/rect_44.jpg,../datasets/Jung/shadow_mask/rect_44.jpg,../datasets/Jung/background_color_image/rect_44.jpg,../datasets/Jung/background_color_csv/rect_44.csv
7,../datasets/Jung/shadow_image/rect_45.jpg,../datasets/Jung/shadowfree_image/rect_45.jpg,../datasets/Jung/shadow_mask/rect_45.jpg,../datasets/Jung/background_color_image/rect_45.jpg,../datasets/Jung/background_color_csv/rect_45.csv
8,../datasets/Jung/shadow_image/rect_46.jpg,../datasets/Jung/shadowfree_image/rect_46.jpg,../datasets/Jung/shadow_mask/rect_46.jpg,../datasets/Jung/background_color_image/rect_46.jpg,../datasets/Jung/background_color_csv/rect_46.csv
9,../datasets/Jung/shadow_image/rect_47.jpg,../datasets/Jung/shadowfree_image/rect_47.jpg,../datasets/Jung/shadow_mask/rect_47.jpg,../datasets/Jung/background_color_image/rect_47.jpg,../datasets/Jung/background_color_csv/rect_47.csv
10,../datasets/Jung/shadow_image/rect_48.jpg,../datasets/Jung/shadowfree_image/rect_48.jpg,../datasets/Jung/shadow_mask/rect_48.jpg,../datasets/Jung/background_color_image/rect_48.jpg,../datasets/Jung/background_color_csv/rect_48.csv
11,../datasets/Jung/shadow_image/rect_49.jpg,../datasets/Jung/shadowfree_image/rect_49.jpg,../datasets/Jung/shadow_mask/rect_49.jpg,../datasets/Jung/background_color_image/rect_49.jpg,../datasets/Jung/background_color_csv/rect_49.csv
12,../datasets/Jung/shadow_image/rect_50.jpg,../datasets/Jung/shadowfree_image/rect_50.jpg,../datasets/Jung/shadow_mask/rect_50.jpg,../datasets/Jung/background_color_image/rect_50.jpg,../datasets/Jung/background_color_csv/rect_50.csv
