,shadow_image,shadowfree_image,shadow_matte,background_image,background_color_csv
0,../datasets/OSR/shadow_image/001_001.jpg,../datasets/OSR/shadowfree_image/001_001.jpg,../datasets/OSR/shadow_mask/001_001.png,../datasets/OSR/background_color_image/001_001.jpg,../datasets/OSR/background_color_csv/001_001.csv
1,../datasets/OSR/shadow_image/001_002.jpg,../datasets/OSR/shadowfree_image/001_002.jpg,../datasets/OSR/shadow_mask/001_002.png,../datasets/OSR/background_color_image/001_002.jpg,../datasets/OSR/background_color_csv/001_002.csv
2,../datasets/OSR/shadow_image/001_003.jpg,../datasets/OSR/shadowfree_image/001_003.jpg,../datasets/OSR/shadow_mask/001_003.png,../datasets/OSR/background_color_image/001_003.jpg,../datasets/OSR/background_color_csv/001_003.csv
3,../datasets/OSR/shadow_image/001_004.jpg,../datasets/OSR/shadowfree_image/001_004.jpg,../datasets/OSR/shadow_mask/001_004.png,../datasets/OSR/background_color_image/001_004.jpg,../datasets/OSR/background_color_csv/001_004.csv
4,../datasets/OSR/shadow_image/001_005.jpg,../datasets/OSR/shadowfree_image/001_005.jpg,../datasets/OSR/shadow_mask/001_005.png,../datasets/OSR/background_color_image/001_005.jpg,../datasets/OSR/background_color_csv/001_005.csv
5,../datasets/OSR/shadow_image/001_007.jpg,../datasets/OSR/shadowfree_image/001_007.jpg,../datasets/OSR/shadow_mask/001_007.png,../datasets/OSR/background_color_image/001_007.jpg,../datasets/OSR/background_color_csv/001_007.csv
6,../datasets/OSR/shadow_image/001_009.jpg,../datasets/OSR/shadowfree_image/001_009.jpg,../datasets/OSR/shadow_mask/001_009.png,../datasets/OSR/background_color_image/001_009.jpg,../datasets/OSR/background_color_csv/001_009.csv
7,../datasets/OSR/shadow_image/001_010.jpg,../datasets/OSR/shadowfree_image/001_010.jpg,../datasets/OSR/shadow_mask/001_010.png,../datasets/OSR/background_color_image/001_010.jpg,../datasets/OSR/background_color_csv/001_010.csv
8,../datasets/OSR/shadow_image/001_011.jpg,../datasets/OSR/shadowfree_image/001_011.jpg,../datasets/OSR/shadow_mask/001_011.png,../datasets/OSR/background_color_image/001_011.jpg,../datasets/OSR/background_color_csv/001_011.csv
9,../datasets/OSR/shadow_image/001_012.jpg,../datasets/OSR/shadowfree_image/001_012.jpg,../datasets/OSR/shadow_mask/001_012.png,../datasets/OSR/background_color_image/001_012.jpg,../datasets/OSR/background_color_csv/001_012.csv
10,../datasets/OSR/shadow_image/001_020.jpg,../datasets/OSR/shadowfree_image/001_020.jpg,../datasets/OSR/shadow_mask/001_020.png,../datasets/OSR/background_color_image/001_020.jpg,../datasets/OSR/background_color_csv/001_020.csv
11,../datasets/OSR/shadow_image/001_024.jpg,../datasets/OSR/shadowfree_image/001_024.jpg,../datasets/OSR/shadow_mask/001_024.png,../datasets/OSR/background_color_image/001_024.jpg,../datasets/OSR/background_color_csv/001_024.csv
12,../datasets/OSR/shadow_image/001_026.jpg,../datasets/OSR/shadowfree_image/001_026.jpg,../datasets/OSR/shadow_mask/001_026.png,../datasets/OSR/background_color_image/001_026.jpg,../datasets/OSR/background_color_csv/001_026.csv
13,../datasets/OSR/shadow_image/001_028.jpg,../datasets/OSR/shadowfree_image/001_028.jpg,../datasets/OSR/shadow_mask/001_028.png,../datasets/OSR/background_color_image/001_028.jpg,../datasets/OSR/background_color_csv/001_028.csv
14,../datasets/OSR/shadow_image/001_029.jpg,../datasets/OSR/shadowfree_image/001_029.jpg,../datasets/OSR/shadow_mask/001_029.png,../datasets/OSR/background_color_image/001_029.jpg,../datasets/OSR/background_color_csv/001_029.csv
15,../datasets/OSR/shadow_image/001_030.jpg,../datasets/OSR/shadowfree_image/001_030.jpg,../datasets/OSR/shadow_mask/001_030.png,../datasets/OSR/background_color_image/001_030.jpg,../datasets/OSR/background_color_csv/001_030.csv
16,../datasets/OSR/shadow_image/002_001.jpg,../datasets/OSR/shadowfree_image/002_001.jpg,../datasets/OSR/shadow_mask/002_001.png,../datasets/OSR/background_color_image/002_001.jpg,../datasets/OSR/background_color_csv/002_001.csv
17,../datasets/OSR/shadow_image/002_004.jpg,../datasets/OSR/shadowfree_image/002_004.jpg,../datasets/OSR/shadow_mask/002_004.png,../datasets/OSR/background_color_image/002_004.jpg,../datasets/OSR/background_color_csv/002_004.csv
18,../datasets/OSR/shadow_image/002_005.jpg,../datasets/OSR/shadowfree_image/002_005.jpg,../datasets/OSR/shadow_mask/002_005.png,../datasets/OSR/background_color_image/002_005.jpg,../datasets/OSR/background_color_csv/002_005.csv
19,../datasets/OSR/shadow_image/002_012.jpg,../datasets/OSR/shadowfree_image/002_012.jpg,../datasets/OSR/shadow_mask/002_012.png,../datasets/OSR/background_color_image/002_012.jpg,../datasets/OSR/background_color_csv/002_012.csv
20,../datasets/OSR/shadow_image/002_013.jpg,../datasets/OSR/shadowfree_image/002_013.jpg,../datasets/OSR/shadow_mask/002_013.png,../datasets/OSR/background_color_image/002_013.jpg,../datasets/OSR/background_color_csv/002_013.csv
