,shadow_image,shadowfree_image,shadow_matte,background_image,background_color_csv
0,../datasetss/SDSRD/train/shadow_image/D0001M001C01N00007.png,../datasetss/SDSRD/train/shadowfree_image/D0001M001C01N00007.png,../datasetss/SDSRD/train/shadow_matte/D0001M001C01N00007.png,../datasetss/SDSRD/train/background_color_image/D0001M001C01N00007.png,../datasetss/SDSRD/train/background_color_csv/D0001M001C01N00007.csv
1,../datasetss/SDSRD/train/shadow_image/D0001M001C01N00008.png,../datasetss/SDSRD/train/shadowfree_image/D0001M001C01N00008.png,../datasetss/SDSRD/train/shadow_matte/D0001M001C01N00008.png,../datasetss/SDSRD/train/background_color_image/D0001M001C01N00008.png,../datasetss/SDSRD/train/background_color_csv/D0001M001C01N00008.csv
2,../datasetss/SDSRD/train/shadow_image/D0001M001C01N00009.png,../datasetss/SDSRD/train/shadowfree_image/D0001M001C01N00009.png,../datasetss/SDSRD/train/shadow_matte/D0001M001C01N00009.png,../datasetss/SDSRD/train/background_color_image/D0001M001C01N00009.png,../datasetss/SDSRD/train/background_color_csv/D0001M001C01N00009.csv
3,../datasetss/SDSRD/train/shadow_image/D0001M002C01N00007.png,../datasetss/SDSRD/train/shadowfree_image/D0001M002C01N00007.png,../datasetss/SDSRD/train/shadow_matte/D0001M002C01N00007.png,../datasetss/SDSRD/train/background_color_image/D0001M002C01N00007.png,../datasetss/SDSRD/train/background_color_csv/D0001M002C01N00007.csv
4,../datasetss/SDSRD/train/shadow_image/D0001M002C01N00008.png,../datasetss/SDSRD/train/shadowfree_image/D0001M002C01N00008.png,../datasetss/SDSRD/train/shadow_matte/D0001M002C01N00008.png,../datasetss/SDSRD/train/background_color_image/D0001M002C01N00008.png,../datasetss/SDSRD/train/background_color_csv/D0001M002C01N00008.csv
5,../datasetss/SDSRD/train/shadow_image/D0001M002C01N00009.png,../datasetss/SDSRD/train/shadowfree_image/D0001M002C01N00009.png,../datasetss/SDSRD/train/shadow_matte/D0001M002C01N00009.png,../datasetss/SDSRD/train/background_color_image/D0001M002C01N00009.png,../datasetss/SDSRD/train/background_color_csv/D0001M002C01N00009.csv
6,../datasetss/SDSRD/train/shadow_image/D0001M003C01N00007.png,../datasetss/SDSRD/train/shadowfree_image/D0001M003C01N00007.png,../datasetss/SDSRD/train/shadow_matte/D0001M003C01N00007.png,../datasetss/SDSRD/train/background_color_image/D0001M003C01N00007.png,../datasetss/SDSRD/train/background_color_csv/D0001M003C01N00007.csv
7,../datasetss/SDSRD/train/shadow_image/D0001M003C01N00008.png,../datasetss/SDSRD/train/shadowfree_image/D0001M003C01N00008.png,../datasetss/SDSRD/train/shadow_matte/D0001M003C01N00008.png,../datasetss/SDSRD/train/background_color_image/D0001M003C01N00008.png,../datasetss/SDSRD/train/background_color_csv/D0001M003C01N00008.csv
8,../datasetss/SDSRD/train/shadow_image/D0001M003C01N00009.png,../datasetss/SDSRD/train/shadowfree_image/D0001M003C01N00009.png,../datasetss/SDSRD/train/shadow_matte/D0001M003C01N00009.png,../datasetss/SDSRD/train/background_color_image/D0001M003C01N00009.png,../datasetss/SDSRD/train/background_color_csv/D0001M003C01N00009.csv
9,../datasetss/SDSRD/train/shadow_image/D0001M008C01N00008.png,../datasetss/SDSRD/train/shadowfree_image/D0001M008C01N00008.png,../datasetss/SDSRD/train/shadow_matte/D0001M008C01N00008.png,../datasetss/SDSRD/train/background_color_image/D0001M008C01N00008.png,../datasetss/SDSRD/train/background_color_csv/D0001M008C01N00008.csv
